camis,dba,boro,cuisine_description,building,street,zipcode,grade
50119663,MOMO ASHI,Queens,Coffee/Tea,147-05,45 AVENUE,11355.0,B
50131842,MCDONALD'S,Brooklyn,Hamburgers,1642,PITKIN AVENUE,11212.0,A
41395397,CITI FIELD PAT LAFRIEDA/KOSHER GRILL - STAND 142,Queens,American,126 ST,and ROOSEVELT AVENUE,,A
50112315,WONDER WORLD NUTRITION (HERBALIFE),Queens,"Juice, Smoothies, Fruit Salads",102-20,CORONA AVENUE,11368.0,A
50106149,KENNEDY BURGER AND SHAKE,Manhattan,Chicken,567,LENOX AVENUE,10037.0,A
50134106,WINGSTOP,Queens,Chicken,40-11,QUEENS BOULEVARD,11104.0,A
50094788,THE KOVA,Staten Island,Coffee/Tea,1775,RICHMOND ROAD,10306.0,A
50002325,SONNY'S ROTI SHOP,Queens,Caribbean,118-06,LIBERTY AVENUE,11419.0,A
50046668,AVLI LITTLE GREEK KAFE,Queens,Coffee/Tea,38-29,BELL BOULEVARD,11361.0,A
40987572,DUNKIN' / BASKIN ROBBINS,Queens,Donuts,29-28,HOYT AVENUE,11102.0,A
50124047,HAPPY DELI,Queens,Sandwiches,33-09,COLLEGE POINT BOULEVARD,11354.0,A
40515448,FREDDIE & PEPPER'S,Manhattan,Pizza,303,AMSTERDAM AVENUE,10023.0,A
50009455,VIVE LA CREPE,Manhattan,French,532,COLUMBUS AVENUE,10024.0,A
50001012,SUBWAY,Manhattan,Sandwiches,1427,YORK AVENUE,10021.0,A
41616179,DARO'S PIZZA,Queens,Pizza,44-25,KISSENA BOULEVARD,11355.0,A
50102423,DUNKIN' DONUTS,Bronx,Coffee/Tea,760,EAST TREMONT AVENUE,10460.0,A
41540996,MEDI WINEBAR,Manhattan,Mediterranean,811,9 AVENUE,10019.0,A
50109226,SIP + CO,Manhattan,Coffee/Tea,41,WEST   58 STREET,10019.0,C
41479157,CHEAP SHOTS,Queens,American,149-05,UNION TURNPIKE,11367.0,A
50168822,BURGER KING,Manhattan,American,313,WEST  125 STREET,10027.0,A
40548426,SPOLINI'S,Queens,Italian,116-25,METROPOLITAN AVENUE,11418.0,B
41243535,EMPIRE CORNER II,Manhattan,Chinese,1415,5 AVENUE,10029.0,A
50098545,GRAND FORTUNE CHINESE CUISINE,Brooklyn,Chinese,202,AVENUE U,11223.0,A
50110087,TAQUERIA 86,Manhattan,Latin American,210,WEST   94 STREET,10025.0,A
50080233,CHIPOTLE MEXICAN GRILL #2918,Staten Island,Tex-Mex,2655,RICHMOND AVENUE,10314.0,A
50076293,TEQUILA & MEZCAL,Bronx,Mexican,1292,WESTCHESTER AVENUE,10459.0,A
50076652,SUNSET DINER,Brooklyn,American,593,MEEKER AVENUE,11222.0,A
50117112,IPIC THEATERS FULTON MARKET,Manhattan,American,11,FULTON STREET,10038.0,A
50095632,NEW NORTHERN MANOR,Queens,Chinese,251-13,NORTHERN BOULEVARD,11362.0,B
50117495,PALOMA COFFEE & BAKERY,Brooklyn,Coffee/Tea,349,UNION AVENUE,11211.0,A
50144809,SWOONY'S,Brooklyn,American,215,COLUMBIA STREET,11231.0,A
50098091,BAGEL PUB,Brooklyn,Bagels/Pretzels,313,36 STREET,11232.0,A
50127927,JUST LORRAINE'S PLACE TWO,Manhattan,American,2247,ADAM CLAYTON POWELL JR BOULEVARD,,B
50098228,NURISH,Brooklyn,Coffee/Tea,637,WASHINGTON AVENUE,11238.0,A
50002554,LOS CHUZOS,Queens,Latin American,79-01,ROOSEVELT AVENUE,11372.0,A
41653491,THE HARP,Brooklyn,American,7710,3 AVENUE,11209.0,A
41449143,GREEN FITNESS STUDIO,Brooklyn,"Juice, Smoothies, Fruit Salads",232,VARET STREET,11206.0,A
40391143,LITTLE PIE COMPANY,Manhattan,Bakery Products/Desserts,424,WEST   43 STREET,10036.0,A
50116667,XIN WANG WANG,Queens,Chinese,41-18,MAIN STREET,11355.0,A
50062554,LA CASA DEL POLLO AND JUICE BAR,Manhattan,Spanish,4231,BROADWAY,10033.0,C
50081544,GEISHA ASIAN CUISINE & LOUNGE,Manhattan,Asian/Asian Fusion,3470,BROADWAY,10031.0,B
50152817,SHEEP BY BARASHKA,Brooklyn,Eastern European,1223,AVENUE U,11229.0,B
50106598,CHIPOTLE MEXICAN GRILL #3706,Bronx,Tex-Mex,2190,WHITE PLAINS ROAD,10462.0,A
50124404,NEW ASIAN CUISINE,Queens,Chinese,44-20,48 AVENUE,11377.0,A
50128202,LITTLE GUYANA RESTAURANT & LOUNGE,Queens,Asian/Asian Fusion,111-05,LIBERTY AVENUE,11419.0,A
50144066,CARVEL,Queens,American,249-00,HORACE HARDING EXPRESSWAY,11362.0,A
50118137,DRAGON SUSHI,Manhattan,Japanese,1272,AMSTERDAM AVENUE,10027.0,A
50093870,LOTUS VEGETARIAN,Brooklyn,Vegetarian,2249,CHURCH AVENUE,11226.0,A
40394555,LUIGI'S RESTAURANT,Queens,Italian,265-21,UNION TURNPIKE,11040.0,A
41650760,TROPICAL COFFEE SHOP,Brooklyn,Latin American,584,ROCKAWAY AVENUE,11212.0,A
41608854,GAL BI MA EUL,Queens,Korean,194-03,NORTHERN BOULEVARD,11358.0,B
50066056,BROOKLYN WING HOUSE,Brooklyn,American,1218,UNION STREET,11225.0,A
50057589,TOUS LES JOURS,Queens,Bakery Products/Desserts,39-16,PRINCE STREET,11354.0,A
50017536,ELI'S ESSENTIALS,Manhattan,Sandwiches/Salads/Mixed Buffet,26,EAST   91 STREET,10128.0,B
41053236,DIZZY'S CLUB,Manhattan,American,10,COLUMBUS CIRCLE,10019.0,A
41403608,CHINA GARDEN,Queens,Chinese,39-20,47 AVENUE,11104.0,A
50114675,GRANO DE CAFE,Queens,Spanish,39-10,103 STREET,11368.0,B
50045356,MCDONALD'S,Manhattan,Hamburgers,1872,3 AVENUE,10029.0,A
50143373,LAZY DOG,Manhattan,Hotdogs,41,WEST   40 STREET,10018.0,A
50069517,DIG INN,Manhattan,American,70,PRINCE STREET,10012.0,B
50165320,BURGER BHAI,Brooklyn,Hamburgers,1017,CORTELYOU ROAD,11218.0,A
41614718,LITTLE ITALY PIZZA,Manhattan,Pizza,2,EAST   33 STREET,10016.0,A
50016101,TEXAS CHICKEN & BURGERS,Bronx,Chicken,2660,3 AVENUE,10454.0,B
50152937,BON BAGEL,Queens,American,23-01,41 AVENUE,11101.0,A
50110819,FUNNY FACE BAKERY,Manhattan,Bakery Products/Desserts,6,FULTON STREET,10038.0,A
50081574,CHEN'S GARDEN,Brooklyn,Chinese,3920,9 AVENUE,11232.0,A
50053408,MELLOW YELLOW COFFEE & VIBES,Manhattan,Jewish/Kosher,1729,1 AVENUE,10128.0,A
50145720,Oriental Restaurant,Manhattan,Chinese,1728,MADISON AVENUE,10029.0,B
40796758,PLYMOUTH CAFE,Brooklyn,American,90,HENRY STREET,11201.0,A
50135176,MCDONALDS,Queens,Hamburgers,,TERMINAL 1,11430.0,A
50044817,619 BAR & RESTAURANT EL SALVADORENO,Bronx,Latin American,395,EAST  151 STREET,10455.0,B
41618266,KISSENA CAFE,Queens,Chinese,60-04,KISSENA BOULEVARD,11355.0,A
41411052,MOLE,Brooklyn,Mexican,178,KENT AVENUE,11249.0,A
50081475,TAIM,Manhattan,Mediterranean,75,MAIDEN LANE,10038.0,A
40402423,KNICKERBOCKER CLUB,Manhattan,American,2,EAST   62 STREET,10065.0,A
41374102,STARBUCKS,Manhattan,Coffee/Tea,240,PARK AVENUE SOUTH,10003.0,A
41496204,ALITALIA PIZZA RESTAURANT,Bronx,Pizza,1138,EAST TREMONT AVENUE,10460.0,A
41543970,PAUSE CAFE,Manhattan,Middle Eastern,3,CLINTON SREET,,B
50133264,NOM WAH (KIOSK 11),Manhattan,Chinese,PIER 57,KIOSK 11,10011.0,A
50017827,TACO BELL,Brooklyn,Tex-Mex,8625,4 AVENUE,11209.0,A
50110343,CAFE HABANA,Manhattan,Mexican,17,PRINCE STREET,10012.0,A
50107477,THE CHICKEN SHACK,Queens,Chicken,36-19,BROADWAY,11106.0,B
41046488,FRESH SALT,Manhattan,American,146,BEEKMAN STREET,10038.0,A
50146137,PRET A MANGER,Manhattan,American,205,EAST   42 STREET,10017.0,A
41649130,THE SMITH,Manhattan,American,1900,BROADWAY,10023.0,A
50158205,A-OK CAFE BY ARITZIA,Manhattan,Coffee/Tea,560,BROADWAY,10012.0,A
50116736,FEDERICO'S PIZZERIA,Brooklyn,Pizza,2313,86 STREET,11214.0,A
50002028,LA NORTENA,Brooklyn,Mexican,255A,GRAHAM AVENUE,11206.0,B
50038063,NIGHT MARKET BBQ,Queens,Barbecue,45-06,PARSONS BOULEVARD,11355.0,B
50141006,NAYA,Manhattan,Middle Eastern,285,MADISON AVENUE,10017.0,A
50129742,CAFE LLAMA (FL 66),Manhattan,American,66,HUDSON BLVD EAST,10001.0,A
50034025,PANDA CHINESE RESTAURANT,Brooklyn,Chinese,7323,20 AVENUE,11204.0,A
50009794,CONEY ISLAND BAKERY,Brooklyn,Caribbean,1516,MERMAID AVENUE,11224.0,A
50084127,THE CHAI SPOT,Manhattan,Coffee/Tea,156,MOTT STREET,10013.0,A
50120293,FAITH CHINESE FOOD,Brooklyn,Chinese,170,GRAHAM AVENUE,11206.0,A
50117961,BLANK STREET,Manhattan,Coffee/Tea,300,BLEECKER STREET,10014.0,A
50132598,THE GOLDEN GRILLERS,Queens,Caribbean,145-103,GUY R BREWER BOULEVARD,11434.0,A
50060066,CASCADE JERK,Queens,Caribbean,119-02,SUTPHIN BOULEVARD,11434.0,B
50003105,OLIVER'S,Queens,New American,37-19,BROADWAY,11103.0,A
41249167,UNCLE CHARLIE,Manhattan,American,139,EAST   45 STREET,10017.0,A
50106402,99C PIZZA,Manhattan,Pizza,246,EAST   14 STREET,10003.0,A
50133642,MAIKO MATCHA CAFE,Queens,Coffee/Tea,133-33,39 AVENUE,11354.0,A
41549759,CHIPOTLE MEXICAN GRILL,Manhattan,Tex-Mex,235,WEST   56 STREET,10019.0,A
41353290,THANH DA,Brooklyn,Southeast Asian,6008,7 AVENUE,11220.0,A
50053326,MIRAKUYA,Brooklyn,Japanese,727,FLUSHING AVENUE,11206.0,A
50105236,UPTOWN CREPES,Manhattan,Pancakes/Waffles,199,SHERMAN AVENUE,10034.0,C
50044289,BO KY,Manhattan,Chinese,78,BAYARD STREET,10013.0,B
50037937,AEGEA WEST,Queens,Pizza,242-05,NORTHERN BOULEVARD,11363.0,A
41227842,NICKY'S COFFEE SHOP,Bronx,American,3140,BAINBRIDGE AVENUE,10467.0,A
50168624,LUCY'S CAFE,Brooklyn,Latin American,4706,5 AVENUE,11220.0,A
50146918,DEIA,Brooklyn,Latin American,642,ROGERS AVENUE,11226.0,A
50130681,KWEEN,Queens,Latin American,34-10,30 AVENUE,11103.0,A
50100800,CLAUDY'S KITCHEN,Bronx,Peruvian,5981,BROADWAY,10471.0,A
50133309,POTBELLY,Manhattan,Sandwiches,280,BROADWAY,10007.0,B
50133085,ORCHID TEA CAFE,Brooklyn,Chinese,4618,8 AVENUE,11220.0,A
50116490,EL QUETZAL DELI GROCERY & PIZZERIA,Brooklyn,Mexican,4006,13 AVENUE,11218.0,B
50123472,ISHI,Brooklyn,Seafood,70,5 AVENUE,11217.0,A
50105584,PETER'S HOT BAGEL,Queens,Bagels/Pretzels,47-04,BELL BOULEVARD,11361.0,A
50124738,XOKOTL,Bronx,Mexican,1605,WILLIAMSBRIDGE ROAD,10461.0,A
40747192,NONIS COFFEE SHOP,Bronx,American,5921,RIVERDALE AVENUE,10471.0,A
41248591,NEW YORK TIMES CAFE,Manhattan,American,620,8 AVENUE,10018.0,A
50106493,MOHO MEXICAN GRILL,Queens,Mexican,38-05,BELL BOULEVARD,11361.0,A
50101054,CAMELLIA FAMILY,Queens,Chinese,42-15,COLLEGE POINT BOULEVARD,11355.0,B
50077270,NY GO GO FAST FOOD,Queens,Chinese,135-46,ROOSEVELT AVENUE,11354.0,A
50121055,FIGO,Manhattan,Frozen Desserts,178,MULBERRY STREET,10012.0,A
50146140,PRET A MANGER,Manhattan,Other,389,5 AVENUE,10016.0,A
50146572,NANA BAKING,Brooklyn,Bakery Products/Desserts,9,BAY   22 STREET,11214.0,A
50133767,IL MATTONE,Manhattan,Pizza,49,BEACH STREET,10013.0,B
50163212,LAGHMAN EXPRESS,Brooklyn,Eastern European,2376,CONEY ISLAND AVENUE,11223.0,B
41658484,LEN'S PAPAYA,Manhattan,Hotdogs/Pretzels,4,SOUTH STREET,10004.0,A
50127864,PLAYA BOWLS,Manhattan,"Juice, Smoothies, Fruit Salads",1471,2 AVENUE,10075.0,A
50111156,CORK WINE BAR,Manhattan,French,69,THOMPSON STREET,10012.0,A
50144942,IHOP,Queens,American,21-61,31 STREET,11105.0,A
50013473,RED LOBSTER,Bronx,Seafood,2090,BARTOW AVENUE,10475.0,A
41693397,SUBWAY,Queens,Sandwiches,40-24,COLLEGE POINT BOULEVARD,11354.0,A
40374834,CASA BELLA,Manhattan,Italian,127,MULBERRY STREET,10013.0,A
50112918,SOFRITO AL PUNTO RESTAURANT,Brooklyn,Spanish,6420,17 AVENUE,11204.0,A
50063280,ENZO'S OF ARTHUR AVE,Bronx,Italian,,ARTHUR AVE,10458.0,C
50131730,TAMAL EXPRESS,Bronx,Mexican,70,WEST  183 STREET,10453.0,A
41521360,PARIS BAGUETTE,Manhattan,Bakery Products/Desserts,6,WEST   32 STREET,10001.0,B
50124077,TONG SAM GYUP GOO YI,Queens,Korean,162-23,DEPOT ROAD,11358.0,A
50080117,NEW YORK BAGELS & CAFE,Manhattan,American,587,1 AVENUE,10016.0,A
50085123,NACHO MACHO TACO,Brooklyn,Tex-Mex,591,KNICKERBOCKER AVENUE,11221.0,A
41643622,PEPPINOS PIZZA,Bronx,Pizza,4701,WHITE PLAINS ROAD,10470.0,C
50148915,TAKE CARE,Manhattan,American,303,LEXINGTON AVENUE,10016.0,A
41626713,PERA SOHO,Manhattan,Turkish,54,THOMPSON STREET,10012.0,A
50125874,DUNKIN DONUTS,Manhattan,Donuts,471,LEXINGTON AVENUE,10017.0,A
50013222,MOE'S DOUGHS,Brooklyn,Donuts,126,NASSAU AVENUE,11222.0,A
50116537,DAVE & BUSTER'S,Brooklyn,American,395,GATEWAY DRIVE,11239.0,A
50043973,NAYA EXPRESS,Manhattan,Middle Eastern,1,NEW YORK PLAZA,10004.0,A
50107901,POPEYES LOUISIANA KITCHEN,Brooklyn,Chicken,1101,RUTLAND ROAD,11212.0,A
50176970,WINGSTOP,Queens,Chicken,217-90,HEMPSTEAD AVENUE,11429.0,A
41312094,TITO MURPHY'S,Manhattan,Tex-Mex,346,WEST   46 STREET,10036.0,A
50079353,NERD BE COOL ESPRESSO LAB,Brooklyn,Coffee/Tea,518,COURT STREET,11231.0,A
50145991,MUNCH STREET FOOD,Brooklyn,Jewish/Kosher,1376,CONEY ISLAND AVENUE,11230.0,B
40396421,CAFFE ROMA,Manhattan,Bakery Products/Desserts,385,BROOME STREET,10013.0,B
50128684,AUBI & RAMSA,Manhattan,Frozen Desserts,36,LITTLE WEST   12 STREET,10014.0,A
50123870,OCHI JAMAICAN AND SEAFOOD GRILL,Brooklyn,Caribbean,2488,LINDEN BOULEVARD,11208.0,A
50106536,COFFEE CLOUD,Queens,American,21-34,BROADWAY,11106.0,A
41136967,CLANDESTINO,Manhattan,American,35,CANAL STREET,10002.0,A
50146531,CONCOURSE PIZZA & PASTA,Bronx,Pizza,1839,GRAND CONCOURSE,10453.0,A
50066350,CAFE ROYALE,Bronx,American,553,WALTON AVENUE,10451.0,B
40388419,FAMOUS FAMIGLIA PIZZERIA,Manhattan,Pizza,2859,BROADWAY,10025.0,A
50078031,HAYAT CATERERS,Brooklyn,Mediterranean,6504,6 AVENUE,11220.0,A
50060495,CAFE HESTIA,Manhattan,Sandwiches/Salads/Mixed Buffet,686,3 AVENUE,10017.0,A
50116972,TAVERNA KYCLADES,Queens,Greek,36-01,DITMARS BOULEVARD,11105.0,A
50107993,PANINO RUSTICO,Staten Island,Italian,895,HUGUENOT AVENUE,10312.0,A
50101637,DUNKIN,Staten Island,Donuts,995,MANOR ROAD,10314.0,A
50007126,SANDWICHERIE OF NEW YORK,Manhattan,American,202,EAST   42 STREET,10017.0,A
50148863,NO. 8 CHINESE RESTAURANT,Bronx,Chinese,694C,THWAITES PLACE,10467.0,A
50134362,RIFFRAFF,Manhattan,American,1227,BROADWAY,10001.0,A
50046567,PRINCE COFFEE HOUSE,Bronx,Coffee/Tea,2306,ARTHUR AVENUE,10458.0,B
50088657,MINNIE'S BAR,Brooklyn,American,885,4 AVENUE,11232.0,A
50106847,MAD FOR CHICKEN,Queens,Chicken,43-16,QUEENS BOULEVARD,11104.0,A
50072786,PARRILLA LATINA SPORTS BAR,Bronx,Latin American,614,MELROSE AVENUE,10455.0,C
50135840,HUNAN DELIGHT,Brooklyn,Chinese,752,UNION STREET,11215.0,A
50165268,PHO REAL,Queens,Asian/Asian Fusion,61-09,UTOPIA PARKWAY,11365.0,A
50137606,AMPLE HILLS CREAMERY,Brooklyn,Frozen Desserts,623,VANDERBILT AVENUE,11238.0,A
50105728,CARIDAD RESTAURANT,Queens,Latin American,100-02,NORTHERN BOULEVARD,11368.0,C
50108268,WEN XUAN HOUSE,Brooklyn,Chinese,287,VAN BRUNT STREET,11231.0,A
41529577,CHECKERS,Queens,Hamburgers,120-06,LIBERTY AVENUE,11419.0,A
50093652,DOMINO'S,Queens,Pizza,815,ONDERDONK AVENUE,11385.0,A
50017983,LIVINGSTON MANOR,Brooklyn,American,42,HOYT STREET,11201.0,A
41344229,GRACE PIZZA,Queens,Pizza,70-05,MYRTLE AVENUE,11385.0,C
50116114,GREAT CHINA,Staten Island,Chinese,2154,FOREST AVENUE,10303.0,B
50144320,PONGAL,Manhattan,Indian,103,LEXINGTON AVENUE,10016.0,A
50137811,PLAYA BOWLS,Manhattan,"Juice, Smoothies, Fruit Salads",750,7 AVENUE,10019.0,A
50001897,TAQUERIA GUERRERO,Bronx,Mexican,1761,CROSBY AVENUE,10461.0,B
50132853,GROUND CENTRAL COFFEE COMPANY,Manhattan,Coffee/Tea,1166,AVENUE OF THE AMERICAS,10036.0,C
50009320,SALT + CHARCOAL,Brooklyn,Japanese,171,GRAND STREET,11249.0,C
41293148,DUNKIN,Brooklyn,Donuts,8702,4 AVENUE,11209.0,A
41553360,DUNKIN,Manhattan,Donuts,1873,2 AVENUE,10029.0,A
40587835,MCLOUGHLIN'S,Queens,Irish,31-06,BROADWAY,11106.0,A
41564945,RADIO CITY MUSIC HALL,Manhattan,American,1260,AVENUE OF THE AMERICAS,10020.0,A
50041204,SUSHI SUKI,Manhattan,Japanese,1577,YORK AVENUE,10028.0,A
50121029,TIME DELIGHT RESTAURANT,Bronx,Caribbean,1195,WALTON AVENUE,10452.0,A
50064654,ANPANMAN BAKERY,Manhattan,Chinese,83,CANAL STREET,10002.0,C
50135132,YOSSI'S BAGELS,Brooklyn,Jewish/Kosher,904,KINGS HIGHWAY,11223.0,A
50135594,GOOD HOPE,Brooklyn,Caribbean,711,FLATBUSH AVENUE,11225.0,A
50113951,LA PATRONA,Bronx,Mexican,558,SOUTHERN BOULEVARD,10455.0,A
50063522,CECCONI'S,Manhattan,Italian,55,WATER STREET,10041.0,B
50129333,CAFE BLOOM,Manhattan,Coffee/Tea,4394,BROADWAY,10040.0,A
41453878,BISTRO VENDOME,Manhattan,French,405,EAST   58 STREET,10022.0,A
41120866,THE CORNER DELI / LA ESQUINA CANTINA,Manhattan,Mexican,106,KENMARE STREET,10012.0,A
50138276,BURLY COFFEE,Brooklyn,American,847,ATLANTIC AVENUE,11238.0,A
50123174,MAY REE,Manhattan,Thai,58,EAST    1 STREET,10003.0,A
41385076,TEN TAN,Bronx,Chinese,3507,DEKALB AVENUE,10467.0,C
41163474,MIRIAM,Brooklyn,Mediterranean,79,5 AVENUE,11217.0,A
50002329,HONG KONG JACKIE CHINESE RESTAURANT,Bronx,Chinese,610,MELROSE AVENUE,10455.0,A
50111231,MAMA'S BAR,Manhattan,Bottled Beverages,34,AVENUE B,10009.0,A
40513021,BLUE MOUNTAIN RESTAURANT & JERK CENTER,Brooklyn,Caribbean,169597,UTICA AVENUE,,A
50161981,NAMI SUSHI,Queens,Japanese,242-03,NORTHERN BOULEVARD,11363.0,A
50153430,GLIZZY'S,Manhattan,Hotdogs,25,11 AVENUE,10011.0,C
41371387,FAIRFIELD INN,Queens,American,28-66,COLLEGE POINT BOULEVARD,11354.0,B
50092933,MI BELLA CHOLULITA DELI & RESTAURANT,Brooklyn,Mexican,884,BROADWAY,11206.0,A
40395872,CARIDAD RESTAURANT,Manhattan,Latin American,3533,BROADWAY,10031.0,A
40796717,ANYWAY CAFE & BAR,Brooklyn,Russian,1602,GRAVESEND NECK ROAD,11229.0,A
50040013,SILVER STAR ROTI SHOP,Queens,Caribbean,124-30,ROCKAWAY BOULEVARD,11420.0,A
50073194,PHO METRO,Queens,Southeast Asian,31-16,FARRINGTON STREET,11354.0,A
50128818,LA JUGUERIA,Brooklyn,Spanish,7411,15 AVENUE,11228.0,C
50127356,LITTLE ITALY PIZZA,Manhattan,Pizza,62,WEST   48 STREET,10036.0,A
50145137,CAFE RUMI NY,Manhattan,Coffee/Tea,30,BROAD STREET,10004.0,C
50065030,LAO MA MA LA TANG,Queens,Chinese,136-20,ROOSEVELT AVENUE,11354.0,A
50160581,MELI,Queens,Mediterranean,98-31,METROPOLITAN AVENUE,11375.0,A
50010278,ROCHELLE'S / 205 CLUB,Manhattan,American,19,STANTON STREET,10002.0,A
50130808,ZHENG LU WEI,Brooklyn,Chinese,6321,8 AVENUE,11220.0,A
50017869,CROWN FRIED CHICKEN,Brooklyn,Chicken,2176,PITKIN AVENUE,11207.0,A
40853915,VISTA HERMOSA RESTAURANT,Bronx,Mexican,1201,EVERGREEN AVENUE,10472.0,A
50049009,COACH,Manhattan,American,10,HUDSON YARDS,10001.0,A
50134025,TORINO PIZZA & PASTA,Staten Island,Pizza,1694,RICHMOND ROAD,10304.0,A
50107584,ROCKAWAY TIKI BAR,Queens,Asian/Asian Fusion,67-20,ROCKAWAY BEACH BOULEVARD,11692.0,A
50102945,BLUESTONE LANE,Manhattan,Coffee/Tea,30,HUDSON YARDS,10001.0,C
40762828,MEMO SHISH KEBAB,Brooklyn,Turkish,1821,KINGS HIGHWAY,11229.0,C
50067469,MRS. AN,Manhattan,Thai,173,EAST   99 STREET,10029.0,A
50115490,BUTTERMILK BAKESHOP,Brooklyn,Bakery Products/Desserts,264,5 AVENUE,11215.0,A
50086558,JEN'S ROTI SHOP AND BAKERY,Brooklyn,Caribbean,838,FLATBUSH AVENUE,11226.0,C
50146868,BEANS & MALT,Queens,American,41-02,162 STREET,11358.0,B
50139221,DRAGON KING RESTAURANT,Bronx,Chinese,1270,MORRISON AVENUE,10472.0,A
50121530,Dominos,Queens,Pizza,188-07,UNION TURNPIKE,11366.0,A
50088516,FEROCE / THE FLEUR ROOM,Manhattan,Fusion,105,WEST   28 STREET,10001.0,B
41222832,BROADWAY COMEDY CLUB,Manhattan,American,318,WEST   53 STREET,10019.0,A
41533970,DUNKIN',Bronx,Donuts,2370,GRAND CONCOURSE ROAD,10458.0,A
50130098,TACO BELL,Queens,Tex-Mex,95-06,63 DRIVE,11374.0,A
50065306,CHENG'S,Staten Island,Chinese,2040,FOREST AVENUE,10303.0,A
41176692,EL SOL DE MEXICO DELI GROCERY,Queens,Mexican,95-09,SUTPHIN BOULEVARD,11435.0,A
50062740,SARITAS BAKERY,Queens,Bakery Products/Desserts,94-12,CORONA AVENUE,11373.0,A
41370414,ARTHUR AVENUE CATERS,Bronx,Italian,611,CRESCENT AVENUE,10458.0,A
50115645,JUST SALAD 1412 BROADWAY,Manhattan,Salads,1412,BROADWAY,10018.0,A
50012107,GOOD HOPE RESTAURANT,Queens,Chinese,121-15,LIBERTY AVENUE,11419.0,A
50100503,KALOPSIA,Bronx,Bottled Beverages,1324,JEROME AVENUE,10452.0,A
50155691,CAFE ONE,Manhattan,American,1619,AMSTERDAM AVENUE,10031.0,B
41689402,KARE THAI,Manhattan,Thai,752,10 AVENUE,10019.0,C
50165401,FELIX ROASTING CO.,Manhattan,Coffee/Tea,280,PARK AVENUE,10017.0,A
50106850,OLLIN,Manhattan,Mexican,339,EAST  108 STREET,10029.0,A
41168952,STARBUCKS,Manhattan,Coffee/Tea,110,PEARL STREET,10005.0,A
50096064,OLE & STEEN,Manhattan,Bakery Products/Desserts,80,WEST   40 STREET,10018.0,A
50134983,BAYA BAR,Manhattan,"Juice, Smoothies, Fruit Salads",111,EAST   14 STREET,10003.0,A
50178154,SAZON LA COMUCHITA,Queens,Latin American,103-16,ROOSEVELT AVENUE,11368.0,B
50071397,Q & I BAKERY,Brooklyn,Bakery Products/Desserts,6516,11 AVENUE,11219.0,A
50132090,BNPP EXECUTIVE DINING,Manhattan,American,787,7 AVENUE,10019.0,A
50042550,GLOBAL KITCHEN,Manhattan,American,1290,AVENUE OF THE AMERICAS,10119.0,A
50118551,VIVA MEXICO,Brooklyn,Mexican,1474,86 STREET,11228.0,A
50102820,CAFE JAPON,Brooklyn,Japanese,934,3 AVENUE,11232.0,A
50091389,"AUNTIE ANNE'S PRETZELS, CARVEL",Manhattan,Hotdogs/Pretzels,151,WEST   34 STREET,10001.0,A
41419342,57'S ALL AMERICAN GRILL,Queens,American,33-45,FRANCIS LEWIS BOULEVARD,11358.0,A
50130554,BRASSERIE FOUQUET'S / ELYSEE'S / TITSOU BAR / LE VAUX ROOFTOP,Manhattan,French,456,GREENWICH STREET,10013.0,A
50074873,DAVELLE,Manhattan,Japanese,102,SUFFOLK STREET,10002.0,A
50108815,ANGELITOS BAKERY,Brooklyn,Mexican,4003,5 AVENUE,11232.0,A
41255436,EL PORTON,Manhattan,Mexican,3151,BROADWAY,10027.0,B
41687082,THE POMEROY,Queens,American,36-12,DITMARS BOULEVARD,11105.0,A
50072159,ABE'S PAGODA,Brooklyn,Asian/Asian Fusion,108,WYCKOFF AVENUE,11237.0,A
41084481,JOE'S GINGER RESTAURANT,Manhattan,Chinese,25,PELL STREET,10013.0,A
41696014,NOISETTE,Queens,French,24-21,STEINWAY STREET,11103.0,C
50000256,THE CHAMPAGNE BAR / THE ROSE CLUB,Manhattan,American,768,FIFTH AVENUE,10019.0,A
50107563,CHICKN ROTONDA,Queens,Filipino,64-58,DRY HARBOR ROAD,11379.0,A
50064289,THE MILL,Manhattan,American,140,EAST   52 STREET,10022.0,A
50064910,GOLDEN PALACE,Bronx,Bangladeshi,1455,UNIONPORT ROAD,10462.0,A
50170443,HAAGEN-DAZS,Manhattan,Frozen Desserts,185,GREENWICH STREET,10007.0,A
40399922,WHITE CASTLE,Manhattan,Hamburgers,20922094,7TH AVE,,A
50161031,COURT STREET BAGELS,Brooklyn,Bagels/Pretzels,181,COURT STREET,11201.0,A
40385057,CAPPUCCINO CAFE,Brooklyn,American,7721,3 AVENUE,11209.0,A
50104490,PHO TOP,Queens,Asian/Asian Fusion,25-25,PARSONS BOULEVARD,11354.0,B
50174617,Dimension Poptown,Queens,Asian/Asian Fusion,136-98,ROOSEVELT AVENUE,11354.0,A
40884510,JAVA GIRL,Manhattan,Coffee/Tea,348,EAST   66 STREET,10065.0,A
50114087,LELLO'S PIZZA,Brooklyn,Pizza,4018,GLENWOOD ROAD,11210.0,B
50177132,HIGH HILL DINER,Manhattan,American,808,WEST  187 STREET,10033.0,A
50160319,BUEN SABOR LATINO,Queens,Latin American,96-07,METROPOLITAN AVENUE,11375.0,A
50002559,PARIS BAGUETTE,Manhattan,Bakery Products/Desserts,567,7 AVENUE,10018.0,B
