camis,dba,boro,cuisine_description,building,street,zipcode,grade
50114404,LUCKY DHABA,Queens,Indian,114-06,JAMAICA AVENUE,11418.0,A
50107403,WINGSTOP,Manhattan,Chicken,4051,BROADWAY,10032.0,A
50114674,STAR DELICIOUS,Brooklyn,Latin American,297,WYCKOFF AVENUE,11237.0,A
41619055,SONS OF ESSEX,Manhattan,American,133,ESSEX STREET,10002.0,A
41101595,ANGELO'S PIZZA,Manhattan,Pizza,1697,BROADWAY,10019.0,A
41238372,NEW MALAYSIA RESTAURANT,Queens,Asian/Asian Fusion,135-17,40 ROAD,11354.0,C
50071497,THE STANDARD BIERGARTEN / THE STANDARD GRILL / THE STANDARD SODA SHOP,Manhattan,American,848,WASHINGTON STREET,10014.0,A
50134859,PLAYA BOWLS,Manhattan,"Juice, Smoothies, Fruit Salads",1350,BROADWAY,10018.0,B
41702625,KEUKA KAFE,Queens,New American,112-04,QUEENS BOULEVARD,11375.0,A
41639194,KEUR COUMBA,Manhattan,African,125,WEST  116 STREET,10026.0,C
50047519,POULETTE,Manhattan,French,304,EAST   49 STREET,10017.0,A
50145918,SWEETS BAKERY & CAFE,Queens,Chinese,144-06,NORTHERN BOULEVARD,11354.0,C
40385161,AUTOMATIC SLIM'S,Manhattan,American,733,WASHINGTON STREET,10014.0,A
50140841,LE RELAIS DE VENISE L'ENTRECOTE,Manhattan,French,155,EAST   54 STREET,10022.0,A
40993361,KNAPP PIZZA III,Brooklyn,Pizza,427,KINGS HIGHWAY,11223.0,A
50109826,YAH SUH NYCE,Queens,Caribbean,94-14,SUTPHIN BOULEVARD,11435.0,A
41607653,OBICA MOZZARELLA BAR,Manhattan,Italian,590,MADISON AVENUE,10022.0,A
41005946,MIKE'S OAKWOOD DINER,Staten Island,American,3161,AMBOY ROAD,10306.0,A
50083319,SHIMA SUSHI,Manhattan,Asian/Asian Fusion,226,EAST   51 STREET,10022.0,A
40961620,JK BAKERY,Queens,Bakery Products/Desserts,140-14,28 ROAD,11354.0,C
50106788,THE HUMMUS & PITA CO.,Manhattan,Mediterranean,215,EAST   86 STREET,10028.0,A
41679611,TAKESUSHI,Queens,Japanese,43-46,42 STREET,11104.0,B
50068243,GOLDA,Brooklyn,Mediterranean,504,FRANKLIN AVENUE,11238.0,B
50101866,MI ROMANCE ECUATORIANO,Bronx,Spanish,524A,BROOK AVENUE,10455.0,A
50140776,VIVI BUBBLE TEA,Queens,Coffee/Tea,37-10,QUEENS BOULEVARD,11101.0,A
50100526,FAY DA BAKERY,Queens,Bakery Products/Desserts,133-51,41 AVENUE,11355.0,A
50125786,INDAY,Manhattan,Indian,1407,BROADWAY,10018.0,A
50095860,THE TIMES EATERY,Manhattan,American,680,8 AVENUE,10036.0,A
50045112,GARDEN PUB,Manhattan,American,4,PENN PLAZA,10121.0,A
41350166,POPEYES,Bronx,Chicken,2751,BOSTON ROAD,10469.0,A
50046460,LIN'S GARDEN,Brooklyn,Chinese,175,4 AVENUE,11217.0,A
50150881,LAVAN 641,Manhattan,Other,635,WEST   42 STREET,10036.0,A
50143716,BAKERI,Queens,Bakery Products/Desserts,818,WOODWARD AVENUE,11385.0,A
41030615,SERAFINA BROADWAY,Manhattan,Italian,210,WEST   55 STREET,10019.0,A
41491173,EVE ULTRA LOUNGE,Staten Island,American,2354,ARTHUR KILL ROAD,10309.0,A
